3	Citigroup Inc	839423
10	BofA Merrill Lynch	619849
12	UBS Investment Bank	863758
17	Emerging Growth Equities, Ltd.	979
19	FIG Partners	2980
28	Haywood Securities Inc.	6065
35	Needham & Company	23613
44	Stephens, Inc.	34626
51	William Blair & Company L.L.C.	39463
92	JMP Securities	24848
94	Keefe, Bruyette, & Woods, Inc. 	34167
96	Leerink Swann LLC	15747
101	McAdams Wright Ragen	2802
110	Pacific Crest Securities	7645
112	Piper Jaffray Companies	125869
117	Mackie Research Capital Corporation	11089
135	Stonecap Securities Inc.	8907
137	Westhouse Securities Limited	1844
144	Collins Stewart LLC	15698
146	Goodbody Stockbrokers	6005
176	Stonegate Securities Inc.	935
187	Clarus Securities Inc.	4869
210	BMO Capital Markets, U.S. Equity Research	36419
221	National Bank Financial	49569
226	Capstone Investments	3726
228	BMO Capital Markets, Canadian Equity Research	86657
235	CRISIL Research	4474
244	Anand Rathi Financial Services Limited	7388
253	Beta Securities S.A.	907
260	SEB	31627
269	Longbow Research LLC	18741
271	NBK Capital	6073
285	Miller Tabak & Co., LLC	5460
287	FirstEnergy Capital Corp.	9873
294	Carnegie Investment Bank AB	20664
305	Salman Partners Inc.	4449
330	Commerzbank AG	28821
405	Phillip Securities	6597
446	Affin Hwang Capital	12429
530	Brics Securities Limited	3292
553	ICBPI	2127
564	China International Capital Corporation Limited	32277
571	COL Financial Group, Inc	1429
578	Coinvalores Ccvm Ltda.	2987
594	Daiwa Securities Co. Ltd.	85839
614	Dragon Capital	2277
630	Emkay Global Financial Services Ltd.	5067
687	Global Investment House	8262
696	Shinhan Investment Corp.	22235
705	Guotai Junan International Holdings Limited	6557
712	KB Investment & Securities Co., Ltd.	6660
737	IDBI Capital Market Services Ltd.	2166
762	Hilliard Lyons	5867
780	Jyske Bank A/S	16620
787	KBC Securities NV	10366
796	KGI Securities Co. Ltd.	39206
803	Kotak Securities Ltd.	9242
812	Lazard Capital Markets	21713
853	MERITZ Securities Co., Ltd.	3806
862	Mirabaud Securities LLP	759
873	National Securities Corporation	1663
898	OCBC Investment Research Pte Ltd.	12319
928	PI Financial Corp.	4343
953	PT Bahana Securities	4653
955	PT Trimegah Securities Tbk	1690
964	Raiffeisen CENTROBANK AG	3260
1012	SinoPac Securities Investment Service	8842
1046	Benchmark Company, LLC	7475
1053	Yuanta Securities Korea Co., Ltd.	18228
1073	URALSIB Capital LLC	7390
1112	Spark Capital Advisors(India) Private Limited	3154
1257	MGI Securities Inc.	203
1414	Ford Equity Research, Inc.	15320
1455	Trucost Plc	15542
2075	African Alliance	1494
2134	Dominick & Dominick LLC	193
2248	Tiburon Research Group	151
2384	Jacob Securities Inc.	831
2418	Vetiva Capital Management Limited	1841
2500	Industrial Alliance Securities Inc.	1876
2527	BTIG, LLC	772
2768	Landesbank Baden-Wurttemberg, Fixed Income	5982
2786	National Alliance Capital Markets	249
2809	Arqaam Capital Research Offshore S.A.L.	511
2820	Casimir Capital Limited	846
2827	AlphaMena	1306
2895	Berenberg, Fixed Income Research	498
5	Deutsche Bank	714268
7	Goldman Sachs	482617
8	JP Morgan	916528
23	Fraser Mackenzie Limited	4945
24	FBR Capital Markets & Co.	42284
25	FTN Midwest Securities Corp.	3845
40	Roth Capital Partners, LLC	28576
58	Avondale Partners, LLC	13676
72	Crowell, Weedon & Co.	1051
74	Davenport & Company	11906
89	Janney Montgomery Scott LLC	32171
90	Jefferies LLC	141338
91	Jesup & Lamont Securities Corporation	2158
108	Oppenheimer & Co. Inc.	66367
124	Stifel, Nicolaus & Co., Inc.	85766
139	Arden Partners Plc.	2031
141	Barrington Research Associates, Inc.	15797
142	Boenning & Scattergood, Inc.	4708
158	Sanford C. Bernstein & Co., Inc.	34768
173	C. K. Cooper & Company, Inc.	1462
189	Davy	12395
190	Helvea SA	3965
191	Merrion Stockbrokers Ltd.	1524
205	Janco Partners, Inc.	1037
222	Korea Investment & Securities Co., Ltd.	12482
223	Prabhudas Lilladher Pvt Ltd.	3731
224	Karvy Stockbroking Limited	8689
239	Haitong International Research Limited	11294
241	Dundee Capital Markets Inc.	22212
259	Peel Hunt LLP	7599
274	Religare Capital Markets	7665
289	Fondsfinans AS	2686
292	Kempen & Co. NV	6453
306	Evli Bank plc	6448
307	SoundView Research	214
308	Raymond James Ltd.	28923
323	Swedbank Norway	3594
324	ING Groep NV	153497
359	China Merchants Securities Co. Ltd.	11959
376	Global Hunter Securities, LLC	12964
407	Pritchard Capital Partners, LLC	2117
458	Alpha Finance Investment Services S.A.	574
459	AmResearch Sdn. Bhd.	6442
476	Atlantic Equities LLP	5485
489	Banca IMI SpA	3817
493	Banco BPI, S.A.	6377
525	BOCI Research Ltd.	8331
559	Changjiang Securities Co. LTD.	15489
573	CLSA	99352
591	CRT Capital Group LLC	6745
592	Daewoo Securities Co. Ltd.	18159
624	Eurobank EFG Securities SA	3021
626	EFG-Hermes Research	9938
640	Erste Group Bank AG	8625
724	Hongyuan Securities Co., Ltd.	8599
743	India Infoline Ltd	7464
758	Itau BBA	30705
791	Kenanga Research	8832
826	Loewen Ondaatje McCutcheon Limited	1735
843	Masterlink Securities Corp.	4802
859	Millennium Capital	826
907	Norne Securities AS	7204
910	OSK-DMG	14103
957	PT. Danareksa Sekuritas	1605
977	RHB Research Institute Sdn. Bhd.	14737
1092	Wilson HTM Ltd.	6081
1110	ICICIdirect.com	6206
1125	Allaria Ledesma & Cia Sociedad de Bolsa S.A.	4651
1193	Euroxx Securities	1965
1325	TD Securities Equity Research 	43256
1427	Kuwait Financial Centre S.A.K. MARKAZ	5443
1543	Kingsway Financial Services Group Limited	2491
1544	Alliance Research Sdn. Bhd.	2816
1610	IHS Global Insight	11999
1611	Wright Investors Service Inc.	89727
1643	Centrum Broking Private Limited	3584
1779	Viet Capital Securities Joint Stock Company	2312
1893	Bryan Garnier & Co	6592
1947	Global Equities Research	195
1978	Keynote Capitals Limited	430
1995	Michelle Applebaum Research	515
2029	Unlu & Co.	587
2212	OTKRITIE Capital	4271
2281	BGB Securities, Inc.	956
2295	Grupo Santander	7209
2362	IIFL Research	6580
2378	Progressive Equity Research	226
2380	Ticonderoga Securities LLC	4532
2495	Pivotal Research Group	1002
2498	Williams Financial Group, Inc.	980
2514	MF Global FXA Securities Ltd.	2452
2579	Cinda International Research Limited	2489
2582	Gazprombank (Open Joint - stock Company)	4646
2597	SSIF Broker SA	1268
2614	Ecobank Research	629
2646	Albert Fried & Company, LLC	368
2748	Mizuho Securities Asia Limited	3774
2781	Ascendiant Capital Markets LLC	1319
2866	S&P Capital IQ	1853
2933	Obsidian Research Group, LLC	347
3016	Summit Research Partners, LLC	243
3033	R.F. Lafferty & Co., Inc	175
3096	Lebenthal & Co., LLC	8
14	Auerbach Grayson	214003
31	KeyBanc Capital Markets Inc. 	57391
64	Buckingham Research Group Inc.	11827
83	Griffin Securities	1373
114	Raymond James & Associates	55576
115	RBC Capital Markets	248017
130	Thomson Reuters Corporation	86238
132	Cowen and Company, LLC	91759
133	Cantor Fitzgerald & Co.	9620
147	Maxim Group	7665
149	Paradigm Capital, Inc.	10385
180	D.A. Davidson & Co.	21219
181	Craig-Hallum Capital Group LLC	10415
182	Nomura Securities Co. Ltd.	218343
197	GMP Securities L.P. 	20383
198	Laurentian Bank Securities, Inc.	2575
200	First Global Stockbroking (P) Ltd.	7485
217	I.B.I Group	1199
230	Exane BNP Paribas	44971
231	K.R. Choksey Shares & Securities Private Ltd.	4140
247	S&P Capital IQ Equity Research	86935
264	JPMorgan Cazenove Limited	9017
265	DBS Vickers Research	42251
284	Pareto Securities	15059
299	CJS Securities, Inc.	4614
314	DNB Markets, Inc	19529
315	Desjardins Securities Inc.	22679
317	Cantor Fitzgerald Canada Corporation	5214
349	BBVA Corporate and Investment Bank	3085
365	CSC Securities (HK) Ltd.	2496
367	Dougherty & Company LLC	6424
383	HSBC	51631
399	Mitsubishi UFJ Morgan Stanley Securities Company Limited	59046
400	MKM Partners LLC	11578
500	Caixa Geral de Depositos (CGD) Securities	716
517	Berenberg	15551
518	BHF-Bank Aktiengesellschaft	4388
550	Cenkos Securities plc.	1076
567	CIBC World Markets Inc.	172929
568	CIMB Research	51873
631	Axis Capital Limited	8137
649	Fator Corretora	7445
650	FBN Securities, Inc.	985
685	Gilbert Dupont	5894
716	Hardman & Co.	1381
799	Maybank Kim Eng	15492
833	Macquarie Research	140764
932	Pioneer Investcorp Limited	2842
968	Redbook Research Inc	1115
982	Saigon Securities Inc.	1752
984	Samsung Securities Co. Ltd.	28812
999	Societe Generale Cross Asset Research	75368
1001	Sharekhan Limited	3672
1035	Sun Hung Kai Research Limited	13276
1116	Redburn Partners LLP	4136
1151	Beacon Securities Limited	886
1203	Gabelli & Company, Inc.	7565
1235	Kansas City Capital Associates	415
1368	Sabrient Systems, LLC	13037
1370	Wunderlich Securities Inc.	12970
1401	Crystal Research Associates LLC	253
1436	New Constructs, LLC	17556
1568	Plunkett Research, Ltd.	30760
1602	ValuEngine, Inc.	30246
1654	CrediCorp Capital	3489
1736	Pharos Research	2212
1937	Firstcall India Equity Advisors Pvt.	7413
1971	ISI Group Inc.	20982
2338	Northcoast Research	7366
2406	BCS Financial	3231
2422	Liberum	15898
2456	EVA Dimensions, LLC.	2391318
2488	Veritas Investment Research Corp	1713
2490	CSL Stockbrokers Ltd	1323
2520	Byron Capital Markets	1139
2538	Guggenheim Securities, LLC	10083
2539	Casimir Capital L.P.	428
2554	Evercore ISI	15022
2605	HBJ Capital Services Pvt Ltd	53
2656	Daishin Securities Co. Ltd.	10215
2657	Citadel Securities, LLC	546
2672	BNY Jaywalk LLC	627
2689	Investment Capital Ukraine LLC	1600
2771	AltaCorp Capital Inc.	2481
2788	Drexel Hamilton	2648
2804	SeeThruEquity, LLC	276
2837	Ken Research Private Limited	306
2889	Telsey Advisory Group LLC	4269
2904	ICD Research Ltd.	15024
2905	Baader Helvea Equity Research	2443
2957	Kepler Cheuvreux	12000
2988	Midtown Partners & Co	57
3007	CardinalStone Partners Limited	270
3022	Gordon Haskett Research Advisors	338
3041	Asiamoney	3
3122	Vining Sparks IBG, LP	2
2	Banc of America Securities	107471
4	Credit Suisse	648659
9	Barclays	599400
11	Morgan Stanley	519219
18	Feltl and Company, Inc.	4362
29	Kaufman Bros., L.P. 	14143
36	Octagon Capital Corporation	4572
43	Cormark Securities Inc.	19246
52	Williams Capital Group, L.P.	2499
54	Gleacher & Company, Inc.	10921
68	CLSA Americas LLC	23186
102	MDB Capital Group LLC	1198
118	Madison Williams and Company LLC	2239
120	Scotiabank Global Banking and Market	59897
129	Wedbush Securities Inc.	40972
143	Brean Capital LLC	20598
152	Taglich Brothers, Inc.	2969
159	RBS Research	190129
170	Canaccord Genuity	95219
186	Robert W. Baird & Co.	52347
195	Susquehanna Financial Group, LLP	32822
202	IS Yatirim	5273
204	Edison Investment Research	8819
220	Jennings Capital Inc.	4371
234	Edelweiss Securities Ltd	13630
238	SBI E2 Capital Securities Ltd	1892
261	SunTrust Robinson Humphrey, Inc.	82137
270	M Partners Inc.	4229
277	Motilal Oswal Securities Ltd.	6446
286	PhillipCapital	1944
293	Kepler Capital Markets	32715
352	BNP Paribas	61283
370	Espirito Santo Investment Bank	5644
393	Langenberg & Company, LLC	822
429	Santander	11713
463	Angel Broking Ltd.	4755
468	Arkeon Finance	334
511	UniCredit Research	80143
570	Citic Securities Co., Ltd.	12576
588	CA Cheuvreux	23625
597	Dawson James Securities	353
645	Everbright Securities Co. Ltd.	22281
711	Handelsbanken Capital Markets	11783
722	Hong Leong Investment Bank Berhad	7049
729	Huatai Securities Co., Ltd.	11089
736	ICICI Securities Ltd.	3661
754	Investec Securities Ltd.	8142
813	Leader Capital Markets Ltd	111
863	Mirae Asset Securities Co., Ltd.	15691
888	Noble Financial Group	5286
895	Numis Securities Ltd.	21226
906	Oriental Patron Securities Limited	836
938	Societe de Bourse Portzamparc	3120
954	PT Mandiri Sekuritas	2102
970	Redeye	1652
1029	Sterne Agee & Leach Inc.	37471
1065	BTG Pactual	9509
1088	Wells Fargo Securities, LLC	118353
1106	Bradesco S.A. Corretora de Títulos e Valores Mobiliários	5933
1131	Maybank Investment Bank Berhad	9638
1174	China Everbright Research Limited	1940
1188	Cantor Fitzgerald Ireland	1880
1224	C.I. Capital Research	1501
1497	Directors Deals Ltd.	31060
1499	EconomicInvestor	44119
1565	Pechala's Reports	100479
1574	Raymond James Euro Equities	9380
1658	MarketLine	148597
1856	ABN AMRO Bank N.V.	3945
2049	Value Line Research Center	3683
2065	Charles Stanley Securities	1249
2067	Height Analytics, LLC	1689
2276	Duncan-Williams, Inc.	863
2310	Arctic Securities ASA	3447
2326	Natixis S.A.	44864
2351	Mizuho Securities Co., Ltd.	53618
2433	Chardan Capital Markets, LLC	2208
2467	NCP Northland Capital Partners Inc.	1668
2494	Morningstar Inc.	68448
2678	FSDH Merchant Bank Limited	197
2692	JSC Halyk Finance	2809
2803	CM Research	92
2819	Indigo Equity Research Limited	496
2869	Aegis Capital Corporation	383
2883	RFC Ambrian Limited	538
2903	Canadean Limited	46856
2985	Octo Finances	116
3035	Coutts & Co.	787